{'conflicts': 63, 'french': 694, 'non detect': 2, 'english': 349}
Nombre de mails total : 1045
	- en conflicts : 63
	- en french : 694
	- en non detect : 2
	- en english : 349
Nombre de paragraphes total : 9220 (moyenne : 8.822966507177034)
	- en french : 4028
	- en non detect : 608
	- en english : 4584
Nombre de phrases total : 9419 (moyenne : 9.013397129186602)
	- en french : 4246
	- en non detect : 164
	- en english : 5009
bioinfo_2014-10_28	french
bioinfo_2014-11_28	english
bioinfo_2014-11_22	english
bioinfo_2014-07_44	french
bioinfo_2014-05_61	french
bioinfo_2014-07_26	french
bioinfo_2014-02_79	french
bioinfo_2014-07_72	french
bioinfo_2014-03_10	french
bioinfo_2014-07_29	french
bioinfo_2014-07_64	french
bioinfo_2014-11_53	french
bioinfo_2014-11_24	french
bioinfo_2014-02_19	french
bioinfo_2014-04_55	english
bioinfo_2014-06_14	french
bioinfo_2014-02_48	french
bioinfo_2014-04_39	french
bioinfo_2014-09_38	english (conflict)
bioinfo_2014-03_25	english
bioinfo_2014-09_28	french
bioinfo_2014-04_88	french (conflict)
bioinfo_2014-08_11	french
bioinfo_2014-03_29	french
bioinfo_2014-11_25	english
bioinfo_2014-01_56	english (conflict)
bioinfo_2014-07_40	english
bioinfo_2014-10_14	english
bioinfo_2014-03_50	french
bioinfo_2014-04_33	french (conflict)
bioinfo_2014-05_58	english
bioinfo_2014-06_92	french
bioinfo_2014-08_27	french
bioinfo_2014-01_86	french
bioinfo_2014-06_59	french
bioinfo_2014-10_92	english
bioinfo_2014-01_3	french
bioinfo_2014-09_32	french
bioinfo_2014-07_82	french
bioinfo_2014-01_7	french
bioinfo_2014-02_7	french
bioinfo_2014-04_101	french
bioinfo_2014-01_57	english (conflict)
bioinfo_2014-01_58	english (conflict)
bioinfo_2014-01_48	french
bioinfo_2014-04_7	english
bioinfo_2014-03_31	french
bioinfo_2014-05_9	english
bioinfo_2014-09_10	french
bioinfo_2014-08_8	french
bioinfo_2014-02_44	french
bioinfo_2014-03_55	english
bioinfo_2014-05_39	french
bioinfo_2014-02_34	french
bioinfo_2014-11_72	english (conflict)
bioinfo_2014-03_54	english
bioinfo_2014-09_13	french
bioinfo_2014-02_56	french
bioinfo_2014-09_17	french
bioinfo_2014-04_83	french
bioinfo_2014-01_42	french
bioinfo_2014-10_45	french
bioinfo_2014-12_39	english
bioinfo_2014-09_37	english
bioinfo_2014-04_26	french
bioinfo_2014-05_52	french
bioinfo_2014-02_41	french
bioinfo_2014-02_67	english
bioinfo_2014-07_61	french
bioinfo_2014-05_68	english
bioinfo_2014-06_43	french
bioinfo_2014-08_4	english (conflict)
bioinfo_2014-06_63	french
bioinfo_2014-05_83	english
bioinfo_2014-12_5	french
bioinfo_2014-06_83	english
bioinfo_2014-08_28	french
bioinfo_2014-09_52	french
bioinfo_2014-03_61	french
bioinfo_2014-10_19	english (conflict)
bioinfo_2014-09_85	french
bioinfo_2014-04_21	english
bioinfo_2014-07_62	french
bioinfo_2014-05_57	french
bioinfo_2014-10_106	english
bioinfo_2014-09_44	french
bioinfo_2014-01_28	french
bioinfo_2014-04_60	french
bioinfo_2014-04_16	english
bioinfo_2014-10_97	french
bioinfo_2014-06_18	french (conflict)
bioinfo_2014-11_19	french
bioinfo_2014-06_7	french
bioinfo_2014-05_76	french
bioinfo_2014-06_95	english (conflict)
bioinfo_2014-09_34	french
bioinfo_2014-10_102	french
bioinfo_2014-10_100	english
bioinfo_2014-02_23	english
bioinfo_2014-04_103	french
bioinfo_2014-11_40	french
bioinfo_2014-07_57	english
bioinfo_2014-05_5	english
bioinfo_2014-10_62	french
bioinfo_2014-10_16	french
bioinfo_2014-12_67	french
bioinfo_2014-07_31	english (conflict)
bioinfo_2014-09_92	english
bioinfo_2014-01_37	french
bioinfo_2014-06_80	french
bioinfo_2014-02_77	french
bioinfo_2014-12_44	english
bioinfo_2014-09_78	french (conflict)
bioinfo_2014-11_76	french
bioinfo_2014-11_61	english
bioinfo_2014-07_53	french
bioinfo_2014-09_90	french
bioinfo_2014-05_7	english
bioinfo_2014-10_89	french
bioinfo_2014-11_41	french
bioinfo_2014-02_36	french
bioinfo_2014-02_16	french
bioinfo_2014-08_5	french
bioinfo_2014-05_10	english
bioinfo_2014-04_5	english
bioinfo_2014-07_12	french
bioinfo_2014-04_87	english
bioinfo_2014-09_47	french
bioinfo_2014-12_37	english
bioinfo_2014-01_27	french (conflict)
bioinfo_2014-03_42	french
bioinfo_2014-11_87	french
bioinfo_2014-11_13	french
bioinfo_2014-10_51	english
bioinfo_2014-12_40	french
bioinfo_2014-01_24	english
bioinfo_2014-01_55	french
bioinfo_2014-10_24	french
bioinfo_2014-01_93	english
bioinfo_2014-04_41	english
bioinfo_2014-05_51	french
bioinfo_2014-04_58	french
bioinfo_2014-09_23	english
bioinfo_2014-01_62	french
bioinfo_2014-05_15	english
bioinfo_2014-06_28	french
bioinfo_2014-12_68	english
bioinfo_2014-02_69	french
bioinfo_2014-09_48	french
bioinfo_2014-10_74	english
bioinfo_2014-01_64	french
bioinfo_2014-03_45	french
bioinfo_2014-05_55	french
bioinfo_2014-06_75	french
bioinfo_2014-06_99	english
bioinfo_2014-08_20	french
bioinfo_2014-02_94	french
bioinfo_2014-12_72	french
bioinfo_2014-07_74	french
bioinfo_2014-11_66	french
bioinfo_2014-04_71	french
bioinfo_2014-10_15	english
bioinfo_2014-09_9	french
bioinfo_2014-05_37	french
bioinfo_2014-02_87	english
bioinfo_2014-07_55	french
bioinfo_2014-02_52	english
bioinfo_2014-02_70	french
bioinfo_2014-01_18	french
bioinfo_2014-11_32	english
bioinfo_2014-03_57	french
bioinfo_2014-04_97	french
bioinfo_2014-06_65	english
bioinfo_2014-12_20	french (conflict)
bioinfo_2014-12_56	french
bioinfo_2014-06_82	english
bioinfo_2014-05_78	french
bioinfo_2014-03_52	english
bioinfo_2014-05_3	french
bioinfo_2014-09_93	french
bioinfo_2014-01_45	french
bioinfo_2014-10_11	french
bioinfo_2014-11_11	french
bioinfo_2014-06_19	english
bioinfo_2014-01_36	french
bioinfo_2014-05_12	english
bioinfo_2014-10_72	french
bioinfo_2014-04_92	english
bioinfo_2014-07_75	english
bioinfo_2014-06_89	french
bioinfo_2014-06_84	english
bioinfo_2014-04_72	french
bioinfo_2014-02_84	french (conflict)
bioinfo_2014-02_90	english
bioinfo_2014-04_44	english
bioinfo_2014-09_51	french
bioinfo_2014-10_66	english
bioinfo_2014-12_23	french
bioinfo_2014-01_69	french
bioinfo_2014-07_58	french
bioinfo_2014-12_60	french
bioinfo_2014-06_38	english
bioinfo_2014-10_108	english
bioinfo_2014-06_62	french
bioinfo_2014-06_52	english
bioinfo_2014-04_108	french
bioinfo_2014-12_16	french
bioinfo_2014-03_27	english
bioinfo_2014-12_70	french
bioinfo_2014-07_83	french
bioinfo_2014-04_67	english
bioinfo_2014-12_34	english
bioinfo_2014-02_51	french
bioinfo_2014-04_51	french
bioinfo_2014-01_89	english
bioinfo_2014-06_94	english
bioinfo_2014-07_79	french
bioinfo_2014-05_74	english
bioinfo_2014-06_58	french
bioinfo_2014-07_56	english (conflict)
bioinfo_2014-09_75	english
bioinfo_2014-06_26	french
bioinfo_2014-09_27	english
bioinfo_2014-10_13	french
bioinfo_2014-05_22	english
bioinfo_2014-04_74	english
bioinfo_2014-02_29	english
bioinfo_2014-04_32	english
bioinfo_2014-12_33	french
bioinfo_2014-03_62	french
bioinfo_2014-09_94	english
bioinfo_2014-03_47	french
bioinfo_2014-01_88	french
bioinfo_2014-02_76	english
bioinfo_2014-05_60	french
bioinfo_2014-01_90	french
bioinfo_2014-09_31	english
bioinfo_2014-03_18	french
bioinfo_2014-05_6	english
bioinfo_2014-05_4	english
bioinfo_2014-01_46	french
bioinfo_2014-02_63	french
bioinfo_2014-04_13	french
bioinfo_2014-09_11	french
bioinfo_2014-06_40	english
bioinfo_2014-08_30	french
bioinfo_2014-10_103	french
bioinfo_2014-10_75	french
bioinfo_2014-03_46	french
bioinfo_2014-02_2	english
bioinfo_2014-12_14	french
bioinfo_2014-07_80	english
bioinfo_2014-05_38	french
bioinfo_2014-07_93	french
bioinfo_2014-01_68	english
bioinfo_2014-04_68	english (conflict)
bioinfo_2014-05_35	french
bioinfo_2014-02_80	english
bioinfo_2014-02_4	english (conflict)
bioinfo_2014-04_45	english (conflict)
bioinfo_2014-06_54	french
bioinfo_2014-10_61	french
bioinfo_2014-07_28	french
bioinfo_2014-01_6	french
bioinfo_2014-11_1	french
bioinfo_2014-03_4	english
bioinfo_2014-04_18	english
bioinfo_2014-07_81	english
bioinfo_2014-01_49	english
bioinfo_2014-03_39	french
bioinfo_2014-11_23	french
bioinfo_2014-12_9	french
bioinfo_2014-10_81	french
bioinfo_2014-10_33	french
bioinfo_2014-04_12	english
bioinfo_2014-07_22	french
bioinfo_2014-02_40	french
bioinfo_2014-04_69	french
bioinfo_2014-10_85	french
bioinfo_2014-11_84	french
bioinfo_2014-01_103	french
bioinfo_2014-04_1	french
bioinfo_2014-01_31	french
bioinfo_2014-02_64	french
bioinfo_2014-03_13	french
bioinfo_2014-11_47	french
bioinfo_2014-01_92	english
bioinfo_2014-08_19	french
bioinfo_2014-11_92	french
bioinfo_2014-12_8	french
bioinfo_2014-09_88	french
bioinfo_2014-09_80	french (conflict)
bioinfo_2014-10_37	french
bioinfo_2014-01_61	french
bioinfo_2014-06_30	french
bioinfo_2014-04_70	french
bioinfo_2014-01_8	french
bioinfo_2014-08_21	english (conflict)
bioinfo_2014-05_45	english
bioinfo_2014-03_59	french
bioinfo_2014-05_84	english (conflict)
bioinfo_2014-01_76	english
bioinfo_2014-10_4	french
bioinfo_2014-01_52	french
bioinfo_2014-01_2	french
bioinfo_2014-03_37	french (conflict)
bioinfo_2014-09_77	french
bioinfo_2014-06_57	english
bioinfo_2014-03_2	english
bioinfo_2014-01_47	french
bioinfo_2014-04_54	english
bioinfo_2014-01_66	french
bioinfo_2014-08_10	french
bioinfo_2014-01_16	french
bioinfo_2014-11_52	french
bioinfo_2014-01_11	english
bioinfo_2014-02_50	french
bioinfo_2014-12_66	french
bioinfo_2014-04_17	english
bioinfo_2014-02_25	english
bioinfo_2014-04_24	english
bioinfo_2014-10_95	french
bioinfo_2014-06_35	french
bioinfo_2014-04_62	french
bioinfo_2014-05_43	english
bioinfo_2014-12_13	french
bioinfo_2014-06_4	french
bioinfo_2014-09_2	french
bioinfo_2014-01_53	french
bioinfo_2014-07_4	french
bioinfo_2014-04_50	french
bioinfo_2014-09_29	french
bioinfo_2014-01_10	french
bioinfo_2014-05_17	english (conflict)
bioinfo_2014-11_82	french
bioinfo_2014-01_78	french
bioinfo_2014-04_35	english
bioinfo_2014-01_14	french
bioinfo_2014-01_32	english
bioinfo_2014-02_42	french
bioinfo_2014-09_95	french
bioinfo_2014-06_12	french
bioinfo_2014-12_18	french
bioinfo_2014-02_14	english
bioinfo_2014-04_53	english
bioinfo_2014-06_72	french
bioinfo_2014-11_57	french
bioinfo_2014-06_10	french
bioinfo_2014-05_25	english
bioinfo_2014-09_22	french
bioinfo_2014-09_62	french
bioinfo_2014-02_82	french
bioinfo_2014-09_84	french
bioinfo_2014-11_80	french
bioinfo_2014-10_83	french
bioinfo_2014-04_64	french
bioinfo_2014-06_42	english
bioinfo_2014-07_42	french
bioinfo_2014-06_55	french
bioinfo_2014-01_50	english
bioinfo_2014-03_11	french
bioinfo_2014-12_51	french
bioinfo_2014-06_34	english
bioinfo_2014-07_86	french
bioinfo_2014-05_54	english
bioinfo_2014-07_69	french
bioinfo_2014-11_42	english (conflict)
bioinfo_2014-05_73	english
bioinfo_2014-11_16	french
bioinfo_2014-10_32	french
bioinfo_2014-07_88	french
bioinfo_2014-10_69	french
bioinfo_2014-06_29	french
bioinfo_2014-07_87	french
bioinfo_2014-05_65	english
bioinfo_2014-12_50	english
bioinfo_2014-03_26	english
bioinfo_2014-11_29	english
bioinfo_2014-08_18	french
bioinfo_2014-04_94	french
bioinfo_2014-01_12	english
bioinfo_2014-04_4	french
bioinfo_2014-09_4	french
bioinfo_2014-10_54	english (conflict)
bioinfo_2014-05_33	english
bioinfo_2014-10_87	french
bioinfo_2014-04_81	french
bioinfo_2014-03_28	english
bioinfo_2014-05_75	french
bioinfo_2014-09_21	english
bioinfo_2014-07_94	french
bioinfo_2014-03_36	french
bioinfo_2014-02_81	english
bioinfo_2014-09_26	english
bioinfo_2014-09_50	french
bioinfo_2014-07_13	french
bioinfo_2014-04_85	english
bioinfo_2014-07_10	french
bioinfo_2014-01_41	french (conflict)
bioinfo_2014-07_43	english
bioinfo_2014-06_68	english
bioinfo_2014-07_9	french
bioinfo_2014-09_74	french
bioinfo_2014-09_83	french
bioinfo_2014-11_60	french
bioinfo_2014-07_17	english
bioinfo_2014-06_85	french
bioinfo_2014-07_23	french
bioinfo_2014-02_6	english
bioinfo_2014-11_86	french
bioinfo_2014-03_14	english
bioinfo_2014-01_54	english
bioinfo_2014-11_8	french
bioinfo_2014-11_5	french
bioinfo_2014-04_99	english
bioinfo_2014-01_101	french
bioinfo_2014-07_2	english (conflict)
bioinfo_2014-07_39	english
bioinfo_2014-10_36	french
bioinfo_2014-11_9	english
bioinfo_2014-03_7	french
bioinfo_2014-10_77	french
bioinfo_2014-06_31	english
bioinfo_2014-07_16	french
bioinfo_2014-12_38	french
bioinfo_2014-11_17	french
bioinfo_2014-06_45	english
bioinfo_2014-04_110	french
bioinfo_2014-04_19	french
bioinfo_2014-10_96	french
bioinfo_2014-11_71	french
bioinfo_2014-11_67	french
bioinfo_2014-07_27	english
bioinfo_2014-08_32	english
bioinfo_2014-11_58	french
bioinfo_2014-01_80	french
bioinfo_2014-01_85	english
bioinfo_2014-04_46	french
bioinfo_2014-02_28	french
bioinfo_2014-06_15	french
bioinfo_2014-05_81	french
bioinfo_2014-01_99	french
bioinfo_2014-12_59	french
bioinfo_2014-04_14	french
bioinfo_2014-06_90	french
bioinfo_2014-11_64	french
bioinfo_2014-05_64	french
bioinfo_2014-09_12	french
bioinfo_2014-07_49	french
bioinfo_2014-03_58	english (conflict)
bioinfo_2014-07_30	french
bioinfo_2014-12_6	english (conflict)
bioinfo_2014-11_68	french
bioinfo_2014-09_30	french
bioinfo_2014-02_20	french
bioinfo_2014-01_95	french
bioinfo_2014-07_48	french (conflict)
bioinfo_2014-06_37	english
bioinfo_2014-10_30	french
bioinfo_2014-02_21	french
bioinfo_2014-09_91	french
bioinfo_2014-02_33	french
bioinfo_2014-11_33	english
bioinfo_2014-07_50	french
bioinfo_2014-05_41	english
bioinfo_2014-09_49	french
bioinfo_2014-07_37	non detect (conflict)
bioinfo_2014-05_67	english
bioinfo_2014-04_23	french
bioinfo_2014-11_44	french
bioinfo_2014-05_40	english
bioinfo_2014-02_55	french
bioinfo_2014-01_77	french
bioinfo_2014-01_13	french
bioinfo_2014-04_31	english
bioinfo_2014-05_20	english
bioinfo_2014-07_90	french
bioinfo_2014-04_15	french
bioinfo_2014-05_59	french
bioinfo_2014-07_46	french
bioinfo_2014-10_41	english
bioinfo_2014-01_97	french
bioinfo_2014-11_18	english
bioinfo_2014-10_63	french
bioinfo_2014-07_25	french
bioinfo_2014-05_8	english (conflict)
bioinfo_2014-03_32	french
bioinfo_2014-07_68	french
bioinfo_2014-07_78	french
bioinfo_2014-05_53	english
bioinfo_2014-01_102	french
